OID_,CompanyName,Name,City,E_Province,E_NAIC_Name,Latitude,Longitude,CO2_eq,E_Units,Report_Year,E_DetailPageURL,Symbol
1,Magna International Inc,MODATEK SYSTEMS,Milton,Ontario,Other Motor Vehicle Parts Manufacturing,43.523499999999999,-79.919799999999995,9.529999999999999,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,<a href=""https://indicators-map.canada.ca/App/Detail?id=0112549&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>,1
2,Dumur Industries,Dellcom Aerospace,Concord,Ontario,Machine Shops,43.801729999999999,-79.527609999999996,0.000000000000000,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,<a href=""https://indicators-map.canada.ca/App/Detail?id=0112522&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>,1
3,Markham District Energy Inc.,Clegg Energy Centre,Markham,Ontario,Steam and Air-Conditioning Supply,43.850700000000003,-79.338099999999997,1.930000000000000,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,<a href=""https://indicators-map.canada.ca/App/Detail?id=0112446&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>,1
4,Expert Manufacturing Inc.,Expert Manufacturing Inc.,Concord,Ontario,Office Furniture (except Wood) Manufacturing,43.787830000000000,-79.475200000000001,0.740000000000000,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,<a href=""https://indicators-map.canada.ca/App/Detail?id=0110703&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>,1
5,Global File Inc.,Global File Inc.,Concord,Ontario,Office Furniture (except Wood) Manufacturing,43.804900000000004,-79.499099999999999,1.670000000000000,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,<a href=""https://indicators-map.canada.ca/App/Detail?id=0110706&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>,1
6,Markham District Energy Inc.,Birchmount Energy Centre,Markham,Ontario,Steam and Air-Conditioning Supply,43.845320000000001,-79.323939999999993,9.440000000000000,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,<a href=""https://indicators-map.canada.ca/App/Detail?id=0112440&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>,1
7,Profile Industries Ltd.,PROFILE INDUSTRIES INC.,Toronto,Ontario,Office Furniture (except Wood) Manufacturing,43.768900000000002,-79.537099999999995,2.390000000000000,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,<a href=""https://indicators-map.canada.ca/App/Detail?id=0110718&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>,1
8,Spec Furniture Inc.,City View Drive,Toronto,Ontario,Institutional Furniture Manufacturing,43.704300000000003,-79.587699999999998,0.730000000000000,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,<a href=""https://indicators-map.canada.ca/App/Detail?id=0110724&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>,1
9,Apotex Inc.,Apotex Inc. 150 Signet Drive,Toronto,Ontario,Pharmaceutical and Medicine Manufacturing,43.763900000000000,-79.540800000000004,9.170000000000000,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,<a href=""https://indicators-map.canada.ca/App/Detail?id=0112287&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>,1
10,Trillium Health Partners,Credit Valley Hospital,Mississauga,Ontario,General (except Paediatric) Hospitals,43.559530000000002,-79.703299999999999,9.480000000000000,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,<a href=""https://indicators-map.canada.ca/App/Detail?id=0112261&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>,1
11,FCA Canada Inc.,Etobicoke Casting Plant,Toronto,Ontario,Non-Ferrous Die-Casting Foundries,43.595799999999997,-79.540599999999998,9.170000000000000,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,<a href=""https://indicators-map.canada.ca/App/Detail?id=0111243&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>,1
12,Global Contract Limited Partnership,Global Contract Inc.,North York,Ontario,Office Furniture (except Wood) Manufacturing,43.774700000000003,-79.485699999999994,1.800000000000000,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,<a href=""https://indicators-map.canada.ca/App/Detail?id=0110581&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>,1
13,Descor Industries Inc.,Descor Industries Inc.,Markham,Ontario,"Wood Office Furniture, including Custom Architectural Woodwo",43.829500000000003,-79.349299999999999,0.390000000000000,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,<a href=""https://indicators-map.canada.ca/App/Detail?id=0110605&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>,1
14,Global Upholstery Co. Ltd.,Global Upholstery,Downsview,Ontario,Office Furniture (except Wood) Manufacturing,43.776800000000001,-79.475600000000000,3.680000000000000,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,<a href=""https://indicators-map.canada.ca/App/Detail?id=0110609&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>,1
15,City of Toronto,Ashbridges Bay Treatment Plant,Toronto,Ontario,Sewage Treatment Facilities,43.656900000000000,-79.319400000000002,13.960000000000001,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,<a href=""https://indicators-map.canada.ca/App/Detail?id=0111808&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>,2
16,City of Toronto,Highland Creek Treatment Plant,Toronto,Ontario,Sewage Treatment Facilities,43.766700000000000,-79.150000000000006,19.840000000000000,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2021,<a href=""https://indicators-map.canada.ca/App/Detail?id=0111809&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>,2
